bist_time,ask_price1,ask_vol1,ask_price2,ask_vol2,ask_price3,ask_vol3,bid_price1,bid_vol1,bid_price2,bid_vol2,bid_price3,bid_vol3
1663743630055565488,19.93,22300,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22298,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22296,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22294,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,21389,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630143376369,19.93,15499,19.94,42399,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630255101281,19.93,13987,19.94,42399,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743633450514383,19.93,11478,19.94,42399,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743635731668741,19.93,14740,19.94,42399,19.95,6941,19.92,58461,19.91,5327,19.9,45289
1663743636890790737,19.93,14740,19.94,42399,19.95,6941,19.92,58451,19.91,5327,19.9,45289
1663743636892539970,19.93,14740,19.94,42399,19.95,6941,19.92,58441,19.91,5327,19.9,45289
1663743637106529760,19.93,14740,19.94,42399,19.95,6941,19.92,58416,19.91,5327,19.9,45289
1663743637968338131,19.93,14740,19.94,42399,19.95,6941,19.92,56316,19.91,5327,19.9,45289
1663743637968338131,19.93,14740,19.94,42399,19.95,6941,19.92,55907,19.91,5327,19.9,45289
1663743638940985950,19.93,14740,19.94,42399,19.95,6941,19.92,53944,19.91,5327,19.9,45289
1663743638940985950,19.93,14740,19.94,42399,19.95,6941,19.92,53907,19.91,5327,19.9,45289
1663743639048312572,19.93,14740,19.94,42399,19.95,6941,19.92,53270,19.91,5327,19.9,45289
1663743640106091098,19.93,14740,19.94,42399,19.95,6941,19.92,52270,19.91,5327,19.9,144652
1663743640904125469,19.93,14740,19.94,42399,19.95,6941,19.92,52170,19.91,5327,19.9,144652
1663743641395668642,19.93,14740,19.94,42399,19.95,6941,19.92,47670,19.91,5327,19.9,144652
1663743641395829276,19.93,14740,19.94,42399,19.95,6941,19.92,41270,19.91,5327,19.9,144652
1663743641395829276,19.93,14740,19.94,42399,19.95,6941,19.92,40596,19.91,5327,19.9,144652
1663743642353474007,19.93,14740,19.94,42399,19.95,6941,19.92,40496,19.91,5327,19.9,144652
1663743643425161031,19.93,14740,19.94,42399,19.95,6941,19.92,39496,19.91,5327,19.9,144652
1663743643566167196,19.93,14740,19.94,42399,19.95,6941,19.92,38124,19.91,5327,19.9,144652
1663743643566167196,19.93,14740,19.94,42399,19.95,6941,19.92,37481,19.91,5327,19.9,144652
1663743644766183807,19.93,14740,19.94,42399,19.95,6941,19.92,37473,19.91,5327,19.9,144652
1663743644831562696,19.93,14740,19.94,42399,19.95,6941,19.92,37124,19.91,5327,19.9,144652
1663743644831562696,19.93,14740,19.94,42399,19.95,6941,19.92,26263,19.91,5327,19.9,144652
1663743644831562696,19.93,14740,19.94,42399,19.95,6941,19.92,24910,19.91,5327,19.9,144652
1663743644855051160,19.93,14740,19.94,42399,19.95,6941,19.92,24410,19.91,5327,19.9,144652
1663743645102621589,19.93,14740,19.94,42399,19.95,6941,19.92,23736,19.91,5327,19.9,144752
1663743645103079933,19.93,14740,19.94,42399,19.95,6941,19.92,23110,19.91,5327,19.9,144752
1663743646082271657,19.93,14740,19.94,42399,19.95,6941,19.92,22960,19.91,5327,19.9,144752
1663743646594821742,19.93,14740,19.94,42399,19.95,6941,19.92,22157,19.91,5327,19.9,144752
1663743646594821742,19.93,14740,19.94,42399,19.95,6941,19.92,19788,19.91,5327,19.9,144752
1663743647387747447,19.93,14740,19.94,42399,19.95,6941,19.92,19763,19.91,5327,19.9,144752
1663743647387747447,19.93,14740,19.94,42399,19.95,6941,19.92,19688,19.91,5327,19.9,144752
1663743650144370555,19.93,14740,19.94,42399,19.95,6941,19.92,19468,19.91,5327,19.9,144752
1663743650235567768,19.93,14740,19.94,42399,19.95,6941,19.92,19368,19.91,5327,19.9,144752
1663743650235567768,19.93,14740,19.94,42399,19.95,6941,19.92,17482,19.91,5327,19.9,144752
1663743650235567768,19.93,14740,19.94,42399,19.95,6941,19.92,16391,19.91,5327,19.9,144752
1663743650987943364,19.93,14740,19.94,42399,19.95,6941,19.92,16389,19.91,5327,19.9,144802
1663743651304229195,19.93,14740,19.94,42399,19.95,6941,19.92,16341,19.91,5327,19.9,144802
1663743652832947682,19.93,14740,19.94,42399,19.95,6941,19.92,17158,19.91,5498,19.9,144802
1663743653392301073,19.93,14740,19.94,42399,19.95,6941,19.92,16658,19.91,5498,19.9,144802
1663743654128171960,19.93,14740,19.94,42399,19.95,6941,19.92,14793,19.91,7828,19.9,145504
1663743655788602093,19.93,18373,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743655788659019,19.93,17173,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743655788680883,19.93,16878,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743655952242214,19.93,14377,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743655993249262,19.93,12623,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743656099959858,19.93,11876,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743656099959858,19.93,11866,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743656099959858,19.93,11418,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743658480872874,19.93,10918,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743658481175261,19.93,10418,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743658481175261,19.93,10018,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743658481175261,19.93,10017,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743659598593742,19.93,9998,19.94,42499,19.95,7141,19.92,17293,19.91,7828,19.9,145504
1663743659775141466,19.93,9531,19.94,42499,19.95,8674,19.92,17293,19.91,7828,19.9,145504
1663743660002060953,19.93,9530,19.94,42499,19.95,8674,19.92,17293,19.91,7828,19.9,145504
1663743661014974006,19.93,9214,19.94,42499,19.95,8674,19.92,17293,19.91,7828,19.9,145504
1663743661014974006,19.93,9203,19.94,42499,19.95,8674,19.92,17293,19.91,7828,19.9,145504
