bist_time,ask,bid,volume
1663743739308184239,20.02,19.99,1036321
1663743739308184239,20.02,19.99,1036321
1663743739308184239,20.02,19.99,1036321
1663743739308184239,20.02,19.99,1036321
1663743739308184239,20.02,19.99,1036321
1663743740239623444,20.02,19.99,1036421
1663743742821602101,20.02,19.99,1061237
1663743742821602101,20.02,19.99,1058955
1663743742821689033,20.02,19.99,1058955
1663743742821689033,20.02,19.99,1058955
1663743742821689033,20.02,19.99,1057338
1663743743108690443,20.02,19.99,1057338
1663743743108690443,20.02,19.99,1057338
1663743744382329674,20.02,19.99,1060665
1663743745411250330,20.02,19.99,1060665
1663743745784784491,20.02,19.99,1123787
1663743746156906955,20.02,19.99,1124987
1663743746670901048,20.02,19.99,1124988
1663743746984690108,20.02,19.99,1124990
1663743746984690108,20.02,19.99,1124990
1663743747058237715,20.02,19.99,1124990
1663743747120196097,20.02,19.99,1124990
1663743749414915403,20.02,19.99,1124994
1663743749414915403,20.02,19.99,1124994
1663743749414915403,20.02,19.99,1124994
1663743749658504840,20.02,19.99,1124994
1663743749658504840,20.02,19.99,1124994
1663743750526248831,20.02,19.99,1124994
1663743750526248831,20.02,19.99,1124994
1663743750526248831,20.02,19.99,1124994
1663743750526248831,20.02,19.99,1124994
1663743750526248831,20.02,19.99,1124994
1663743750526248831,20.02,19.99,1124994
1663743750607863437,20.02,19.99,1124994
1663743753076168764,20.02,19.99,1127374
1663743753427043549,20.02,19.99,1127375
1663743753836683198,20.02,19.99,1127376
1663743753836683198,20.02,19.99,1127376
1663743754507658181,20.02,19.99,1129678
1663743754507658181,20.02,19.99,1129678
1663743754731329425,20.02,19.99,1129679
1663743754922995801,20.02,19.99,1129679
1663743754944826142,20.02,19.99,1129679
1663743754944826142,20.02,19.99,1129679
1663743754944826142,20.02,19.99,1129679
1663743754944826142,20.02,19.99,1129679
1663743754944826142,20.02,19.99,1129679
1663743754944826142,20.02,19.99,1129679
1663743754944826142,20.02,19.99,1129679
1663743754944826142,20.02,19.99,1129679
1663743755383750748,20.02,19.99,1131537
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756434550932,20.02,19.99,1131861
1663743756436808539,20.02,19.99,1131861
1663743758530666389,20.02,19.99,1138820
1663743759354839082,20.02,19.99,1138824
1663743759355035265,20.02,19.99,1138824
1663743760764122811,20.02,19.99,1139326
1663743760764122811,20.02,19.99,1139326
1663743760764660015,20.02,19.99,1128350
1663743760764660015,20.02,19.99,1128350
1663743760764660015,20.02,19.99,1128350
1663743760764660015,20.02,19.99,1128350
1663743760764660015,20.02,19.99,1128350
1663743760764660015,20.02,19.99,1128350
1663743760764660015,20.04,20.02,1126084
1663743760784256751,20.04,20.02,1148060
1663743760893538941,20.04,20.02,1146193
1663743761385688492,20.04,20.02,1145924
1663743761420303277,20.04,20.02,1212549
1663743761751057099,20.04,20.02,1212549
1663743762668317128,20.04,20.02,1241859
1663743762735768805,20.04,20.02,1241859
1663743762913216337,20.04,20.02,1241859
1663743762913216337,20.04,20.02,1241674
1663743762913216337,20.04,20.02,1239598
1663743763116449534,20.04,20.02,1239598
1663743763226645275,20.04,20.02,1239598
1663743763776483097,20.04,20.02,1239598
1663743763776483097,20.04,20.02,1239598
1663743763776483097,20.04,20.0,1226181
1663743763835075917,20.04,20.0,1236739
1663743765489645763,20.04,20.0,1241016
1663743765867188748,20.04,20.0,1241016
1663743766041024810,20.04,20.0,1244480
1663743766365104830,20.04,20.0,1245515
1663743767232092419,20.04,20.0,1245515
1663743768779381252,20.04,20.0,1262930
1663743769331850952,20.04,20.0,1267930
1663743769399348901,20.04,20.0,1267930
1663743770467328082,20.04,20.0,1267930
1663743770644822297,20.04,20.0,1267930
1663743771126492237,20.04,20.0,1269320
1663743771530663248,20.04,20.0,1269320
1663743772328048474,20.04,20.0,1269537
1663743772520286427,20.04,20.0,1273814
1663743773052316031,20.04,20.0,1273837
1663743773052316031,20.04,20.0,1269695
1663743773052316031,20.04,20.0,1269330
1663743773052316031,20.04,20.0,1268465
1663743773052316031,20.04,19.99,1255923
1663743773052316031,20.04,19.99,1255923
1663743773053098746,20.04,20.0,1259599
1663743774118469603,20.04,20.0,1264599
1663743774402823936,20.04,20.0,1264599
1663743774492283517,20.04,20.0,1264599
1663743774499982429,20.04,20.0,1264599
1663743774635162406,20.04,20.0,1264599
1663743774635162406,20.0,19.99,1264645
1663743776490116534,20.0,19.99,1284501
1663743777349488419,20.0,19.99,1284502
1663743778592484352,20.0,19.99,1285259
1663743778927788792,20.0,19.99,1285260
1663743779728728246,20.0,19.99,1285261
1663743779729064559,20.02,20.0,1277975
1663743780064509071,20.02,20.0,1281976
1663743780371763670,20.02,20.0,1281976
1663743780887753379,20.02,20.0,1281976
1663743781731375517,20.02,20.0,1281976
1663743781745953219,20.02,20.0,1281976
1663743782471199809,20.02,20.0,1286310
1663743782750137064,20.02,20.0,1286310
1663743783174821268,20.02,20.0,1291810
1663743783360821473,20.02,19.99,1288867
1663743786749564442,20.0,19.99,1343105
1663743788157294618,20.0,19.99,1343208
1663743789358204326,20.0,19.99,1343310
1663743790950676247,20.0,19.99,1344313
1663743791079742976,20.0,19.99,1344313
1663743791884753241,20.0,19.99,1343406
1663743792715179434,20.0,19.99,1343408
1663743794413448800,20.0,19.99,1343474
1663743795020312370,20.0,19.99,1343625
1663743795020637078,20.0,19.99,1343625
1663743795021124880,20.0,19.99,1336880
1663743795021124880,20.0,19.99,1336880
1663743795021124880,20.0,19.99,1336880
1663743795021124880,20.0,19.99,1336880
1663743795021124880,20.0,19.99,1336880
1663743795021124880,20.0,19.99,1336880
1663743795021124880,20.0,19.99,1336880
1663743795021124880,20.0,19.99,1332323
1663743799641450765,20.0,19.99,1430244
1663743799739641347,20.0,19.99,1430244
1663743800303680691,20.0,19.99,1430244
1663743800610174191,20.0,19.99,1430244
1663743800610174191,20.0,19.99,1430244
1663743800709454676,20.0,19.99,1430244
1663743801152206828,20.0,19.99,1430246
1663743801598903568,20.0,19.99,1430246
1663743801678484962,20.0,19.99,1430246
1663743801678484962,20.0,19.99,1429557
1663743801678484962,20.0,19.99,1429557
1663743802132295233,20.0,19.99,1429557
1663743802555745498,20.0,19.99,1429557
1663743803021220810,20.0,19.99,1429557
1663743803110758264,20.0,19.99,1430592
1663743803161891991,20.0,19.99,1430592
1663743803588723666,20.0,19.99,1430592
1663743804031644111,20.0,19.99,1433592
1663743804427703308,20.0,19.99,1433592
1663743804857803861,20.0,19.99,1433592
1663743805939016277,20.0,19.99,1433592
1663743806346569299,20.0,19.99,1425066
1663743806427005307,20.0,19.99,1451056
1663743806874800158,20.0,19.99,1451056
1663743807274087637,20.0,19.99,1451056
1663743807668494940,20.0,19.99,1451056
1663743807953077716,20.0,19.99,1451056
1663743808021317678,20.0,19.99,1453056
1663743809380384030,20.0,19.99,1468063
1663743809391884424,20.0,19.99,1468063
1663743809924122135,20.0,19.99,1468063
1663743811640781932,20.0,19.99,1487022
1663743812248419100,20.0,19.99,1489742
1663743812248419100,20.0,19.99,1483646
1663743812508252427,20.0,19.99,1512142
1663743812593336068,20.0,19.99,1513272
1663743813198343220,20.0,19.99,1513272
1663743813763110211,20.0,19.99,1513272
1663743813847350702,20.0,19.99,1512202
1663743813928051275,20.0,19.99,1513275
1663743815489083458,20.0,19.99,1540783
1663743815889022448,20.0,19.99,1540783
1663743816813463569,20.0,19.99,1540783
1663743817014328231,20.0,19.99,1540783
1663743817098499806,20.0,19.99,1540783
1663743817098499806,20.0,19.99,1540783
1663743817362932301,20.0,19.99,1529044
1663743817362932301,20.0,19.99,1528045
1663743817362932301,20.0,19.99,1528045
1663743817700638530,20.0,19.99,1527248
1663743817759177636,20.0,19.99,1527248
1663743817811042335,20.0,19.99,1527248
1663743818181202488,20.0,19.99,1527248
1663743818682454020,20.0,19.99,1527859
1663743818767062061,20.0,19.99,1527859
1663743819067260658,20.0,19.99,1552859
1663743819332165517,20.0,19.99,1552859
1663743819566280429,20.0,19.99,1555359
1663743819566280429,20.0,19.99,1555359
1663743819566853376,20.0,19.99,1555359
1663743820535865414,20.0,19.99,1555359
1663743820571342231,20.0,19.99,1555359
1663743822040710831,20.0,19.99,1555359
1663743822040710831,20.0,19.99,1555359
1663743822040710831,20.0,19.99,1555359
1663743822064666765,20.0,19.99,1558452
1663743822064666765,20.0,19.99,1558452
1663743822092213363,20.0,19.99,1558452
1663743822263856494,20.0,19.99,1558452
1663743822336071972,20.0,19.99,1558452
1663743822815064539,20.0,19.99,1558552
1663743822882789285,20.0,19.99,1558552
1663743823049532942,20.0,19.99,1578552
1663743823049532942,20.0,19.99,1578552
1663743823049532942,20.0,19.99,1577140
1663743823393657258,20.0,19.99,1577726
1663743823667580001,20.0,19.99,1577757
1663743823667580001,20.0,19.99,1577757
1663743823667580001,20.0,19.99,1577757
1663743823834183894,20.0,19.99,1577757
1663743823858762727,20.0,19.99,1577758
1663743824131849301,20.0,19.99,1577758
1663743824141005334,20.0,19.99,1577758
1663743824233037507,20.0,19.99,1577758
1663743824707945521,20.0,19.99,1577758
1663743825110365783,20.0,19.99,1577758
1663743825242609101,20.0,19.99,1577758
1663743825316612532,20.0,19.99,1590735
1663743825706254296,20.0,19.99,1590735
1663743825706254296,20.0,19.99,1590735
1663743825706254296,20.0,19.99,1590735
1663743825896450170,20.0,19.99,1590735
1663743826334924886,20.0,19.99,1590735
1663743826334924886,20.0,19.99,1590735
1663743826335072094,20.0,19.99,1589453
1663743826335072094,20.0,19.99,1585001
1663743826335072094,20.0,19.99,1585001
1663743826390360358,20.0,19.99,1585001
1663743826845752478,20.0,19.99,1585001
1663743827418018240,20.0,19.99,1585001
1663743827556505800,20.0,19.99,1591393
1663743827642268698,20.0,19.99,1589537
1663743827642406460,20.0,19.99,1588366
1663743827701555459,20.0,19.99,1588366
1663743827721375582,20.0,19.99,1588366
1663743828187981068,20.0,19.99,1588366
1663743828203389516,20.0,19.99,1588366
1663743828204198587,20.0,19.99,1589234
1663743828333846894,20.0,19.99,1589234
1663743828781474249,20.0,19.99,1589234
